po_number,supplier_id,supplier_name,po_date,requester,department,cost_centre,total_ex_vat,approval_level,status
PO-2026-00185,SUP-0011,Karoo Abrasives (Pty) Ltd,2026-07-02,F. Adams,Facilities,CC-600,2757.86,Buyer,Open
PO-2026-00186,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-04-30,K. Mahlangu,Maintenance,CC-200,52950.45,Finance Manager,Open
PO-2026-00187,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-05-11,R. Botha,Quality,CC-500,1919.54,Buyer,Open
PO-2025-00188,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2025-12-22,G. Coetzee,Maintenance,CC-200,50918.65,Finance Manager,Open
PO-2025-00189,SUP-0029,Jet Park Packaging (Pty) Ltd,2025-11-20,J. van Wyk,Production,CC-100,3144.55,Buyer,Open
PO-2025-00190,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2025-10-20,B. Sithole,Maintenance,CC-200,20470.11,Department Manager,Open
PO-2026-00191,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-07-29,A. Petersen,Facilities,CC-600,1752.56,Buyer,Open
PO-2026-00192,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-08-17,C. Maree,Warehouse,CC-300,56611.4,Finance Manager,Open
PO-2025-00193,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2025-10-17,B. Sithole,Quality,CC-500,87866.42,Finance Manager,Open
PO-2025-00194,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2025-11-17,R. Botha,Facilities,CC-600,85534.83,Finance Manager,Open
PO-2026-00195,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,2026-03-16,N. Khumalo,Warehouse,CC-300,16452.0,Department Manager,Open
PO-2026-00196,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-06-08,N. Khumalo,Engineering,CC-400,85917.48,Finance Manager,Open
PO-2025-00197,SUP-0037,Denver Crane Services (Pty) Ltd,2025-11-14,A. Petersen,Engineering,CC-400,217114.73,Finance Manager,Open
PO-2026-00198,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-04-15,G. Coetzee,Maintenance,CC-200,20529.7,Department Manager,Open
PO-2025-00199,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2025-12-24,C. Maree,Production,CC-100,8136.06,Buyer,Open
PO-2025-00200,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-11-17,N. Khumalo,Facilities,CC-600,191222.16,Finance Manager,Open
PO-2025-00201,SUP-0031,Sebenza Workwear (Pty) Ltd,2025-12-26,M. Fourie,Quality,CC-500,4272.77,Buyer,Open
PO-2026-00202,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-07-21,R. Botha,Facilities,CC-600,12146.46,Department Manager,Open
PO-2025-00203,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2025-12-11,S. Naidoo,Quality,CC-500,33335.68,Department Manager,Open
PO-2026-00204,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-06-25,T. Mokoena,Warehouse,CC-300,3810.95,Buyer,Open
PO-2026-00205,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-01-16,G. Coetzee,Maintenance,CC-200,10938.13,Department Manager,Open
PO-2026-00206,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2026-02-25,R. Botha,Maintenance,CC-200,1904.88,Buyer,Open
PO-2025-00207,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-11-20,G. Coetzee,Quality,CC-500,10798.36,Department Manager,Open
PO-2026-00208,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-07-28,J. van Wyk,Warehouse,CC-300,1275.36,Buyer,Open
PO-2025-00209,SUP-0031,Sebenza Workwear (Pty) Ltd,2025-11-17,J. van Wyk,Engineering,CC-400,65330.51,Finance Manager,Open
PO-2025-00210,SUP-0009,Rand Safety Equipment (Pty) Ltd,2025-11-10,M. Fourie,Production,CC-100,265.44,Buyer,Open
PO-2025-00211,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-12-10,D. Pillay,Quality,CC-500,173720.9,Finance Manager,Open
PO-2026-00212,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-06-16,M. Fourie,Engineering,CC-400,23090.52,Department Manager,Open
PO-2026-00213,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-07-14,L. Nkosi,Engineering,CC-400,131.9,Buyer,Open
PO-2026-00214,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-06-01,F. Adams,Engineering,CC-400,16406.43,Department Manager,Open
PO-2026-00215,SUP-0033,Aeroton Castors (Pty) Ltd,2026-01-02,J. van Wyk,Maintenance,CC-200,1335.44,Buyer,Open
PO-2026-00216,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-03-16,L. Nkosi,Production,CC-100,56962.84,Finance Manager,Open
PO-2026-00217,SUP-0044,Village Main Instruments (Pty) Ltd,2026-08-18,R. Botha,Maintenance,CC-200,22255.8,Department Manager,Open
PO-2026-00218,SUP-0006,Highveld Lubricants (Pty) Ltd,2026-07-10,M. Fourie,Facilities,CC-600,14749.84,Department Manager,Open
PO-2026-00219,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-03-05,P. Dlamini,Production,CC-100,38446.72,Department Manager,Open
PO-2026-00220,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-06-12,G. Coetzee,Engineering,CC-400,76322.85,Finance Manager,Open
PO-2026-00221,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-04-09,T. Mokoena,Engineering,CC-400,29321.5,Department Manager,Open
PO-2025-00222,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-12-23,N. Khumalo,Warehouse,CC-300,27170.6,Department Manager,Open
PO-2026-00223,SUP-0033,Aeroton Castors (Pty) Ltd,2026-05-11,D. Pillay,Facilities,CC-600,21175.58,Department Manager,Open
PO-2026-00224,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-04-24,M. Fourie,Warehouse,CC-300,129046.87,Finance Manager,Open
PO-2026-00225,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-05-13,K. Mahlangu,Facilities,CC-600,245642.95,Finance Manager,Open
PO-2026-00226,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-07-02,L. Nkosi,Facilities,CC-600,6095.97,Buyer,Open
PO-2026-00227,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-03-02,N. Khumalo,Production,CC-100,17267.89,Department Manager,Open
PO-2026-00228,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-08-21,R. Botha,Warehouse,CC-300,306.39,Buyer,Open
PO-2025-00229,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2025-10-22,A. Petersen,Quality,CC-500,35755.06,Department Manager,Open
PO-2025-00230,SUP-0003,Protea Hydraulics (Pty) Ltd,2025-11-17,K. Mahlangu,Production,CC-100,257566.07,Chief Financial Officer,Open
PO-2025-00231,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2025-12-02,A. Petersen,Warehouse,CC-300,17878.65,Department Manager,Open
PO-2026-00232,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-05-20,A. Petersen,Quality,CC-500,5175.84,Buyer,Open
PO-2025-00233,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-12-15,R. Botha,Engineering,CC-400,159417.42,Finance Manager,Open
PO-2025-00234,SUP-0029,Jet Park Packaging (Pty) Ltd,2025-12-18,D. Pillay,Facilities,CC-600,1570.26,Buyer,Open
PO-2026-00235,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2026-07-06,L. Nkosi,Maintenance,CC-200,1483.08,Buyer,Open
PO-2026-00236,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-07-27,P. Dlamini,Engineering,CC-400,556291.82,Chief Financial Officer,Open
PO-2026-00237,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-08-14,K. Mahlangu,Facilities,CC-600,32610.75,Department Manager,Open
PO-2026-00238,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2026-01-20,A. Petersen,Quality,CC-500,4799.76,Buyer,Open
PO-2026-00239,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-08-11,K. Mahlangu,Warehouse,CC-300,4597.92,Buyer,Open
PO-2026-00240,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-06-01,N. Khumalo,Maintenance,CC-200,34444.62,Department Manager,Open
PO-2026-00241,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-06-10,L. Nkosi,Maintenance,CC-200,501900.5,Chief Financial Officer,Open
PO-2026-00242,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-02-23,S. Naidoo,Warehouse,CC-300,35396.56,Department Manager,Open
PO-2026-00243,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-04-27,M. Fourie,Quality,CC-500,27442.24,Department Manager,Open
PO-2026-00244,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-03-18,M. Fourie,Engineering,CC-400,10240.22,Department Manager,Open
PO-2025-00245,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-12-09,B. Sithole,Facilities,CC-600,95035.43,Finance Manager,Open
PO-2025-00246,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2025-10-31,A. Petersen,Quality,CC-500,22486.4,Department Manager,Open
PO-2025-00247,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2025-11-17,S. Naidoo,Engineering,CC-400,190407.65,Finance Manager,Open
PO-2025-00248,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2025-12-24,N. Khumalo,Warehouse,CC-300,78955.54,Finance Manager,Open
PO-2025-00249,SUP-0004,Sandton Electrical Wholesale (Pty) Ltd,2025-10-06,L. Nkosi,Production,CC-100,30929.2,Department Manager,Open
PO-2025-00250,SUP-0029,Jet Park Packaging (Pty) Ltd,2025-10-16,A. Petersen,Warehouse,CC-300,6000.32,Buyer,Open
PO-2026-00251,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-06-29,C. Maree,Engineering,CC-400,11395.1,Department Manager,Open
PO-2026-00252,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2026-07-13,P. Dlamini,Maintenance,CC-200,4151.9,Buyer,Open
PO-2026-00253,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-07-31,P. Dlamini,Engineering,CC-400,63309.77,Finance Manager,Open
PO-2026-00254,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-04-03,R. Botha,Warehouse,CC-300,150816.82,Finance Manager,Open
PO-2025-00255,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2025-11-17,P. Dlamini,Warehouse,CC-300,1946.8,Buyer,Open
PO-2025-00256,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2025-10-20,D. Pillay,Engineering,CC-400,740597.75,Chief Financial Officer,Open
PO-2026-00257,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-05-11,D. Pillay,Warehouse,CC-300,6713.42,Buyer,Open
PO-2026-00258,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-04-09,P. Dlamini,Quality,CC-500,7659.96,Buyer,Open
PO-2026-00259,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-08-10,J. van Wyk,Warehouse,CC-300,3432.62,Buyer,Open
PO-2025-00260,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2025-12-22,M. Fourie,Production,CC-100,865.38,Buyer,Open
PO-2025-00261,SUP-0033,Aeroton Castors (Pty) Ltd,2025-10-03,P. Dlamini,Warehouse,CC-300,1232.1,Buyer,Open
PO-2025-00262,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2025-12-22,L. Nkosi,Quality,CC-500,2013.66,Buyer,Open
PO-2025-00263,SUP-0031,Sebenza Workwear (Pty) Ltd,2025-11-03,P. Dlamini,Maintenance,CC-200,10614.5,Department Manager,Open
PO-2026-00264,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-08-18,T. Mokoena,Quality,CC-500,61259.33,Finance Manager,Open
PO-2026-00265,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-07-23,N. Khumalo,Engineering,CC-400,24444.04,Department Manager,Open
PO-2025-00266,SUP-0008,Umgeni Valve and Pump (Pty) Ltd,2025-10-01,G. Coetzee,Engineering,CC-400,176430.03,Finance Manager,Open
PO-2026-00267,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-02-16,P. Dlamini,Facilities,CC-600,20563.73,Department Manager,Open
PO-2026-00268,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2026-06-12,B. Sithole,Maintenance,CC-200,14226.78,Department Manager,Open
PO-2025-00269,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2025-12-24,S. Naidoo,Warehouse,CC-300,7341.64,Buyer,Open
PO-2026-00270,SUP-0033,Aeroton Castors (Pty) Ltd,2026-05-25,K. Mahlangu,Production,CC-100,3316.56,Buyer,Open
PO-2025-00271,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,2025-12-08,A. Petersen,Facilities,CC-600,4441.8,Buyer,Open
PO-2026-00272,SUP-0037,Denver Crane Services (Pty) Ltd,2026-01-06,T. Mokoena,Facilities,CC-600,40325.21,Department Manager,Open
PO-2026-00273,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-06-08,M. Fourie,Facilities,CC-600,321543.6,Chief Financial Officer,Open
PO-2026-00274,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-03-20,D. Pillay,Engineering,CC-400,4838.08,Buyer,Open
PO-2026-00275,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-05-18,T. Mokoena,Facilities,CC-600,1227.77,Buyer,Open
PO-2025-00276,SUP-0024,Randburg Instrumentation (Pty) Ltd,2025-11-27,B. Sithole,Production,CC-100,39058.86,Department Manager,Open
PO-2025-00277,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-10-24,R. Botha,Engineering,CC-400,49661.56,Department Manager,Open
PO-2025-00278,SUP-0013,Isando Welding Supplies (Pty) Ltd,2025-10-24,J. van Wyk,Facilities,CC-600,1793.43,Buyer,Open
PO-2026-00279,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-08-03,M. Fourie,Maintenance,CC-200,16064.48,Department Manager,Open
PO-2026-00280,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-05-01,C. Maree,Production,CC-100,21254.93,Department Manager,Open
PO-2026-00281,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-01-05,D. Pillay,Maintenance,CC-200,66757.6,Finance Manager,Open
PO-2026-00282,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-03-16,L. Nkosi,Production,CC-100,23354.48,Department Manager,Open
PO-2025-00283,SUP-0022,Nigel Compressor Services (Pty) Ltd,2025-12-08,T. Mokoena,Facilities,CC-600,95909.99,Finance Manager,Open
PO-2026-00284,SUP-0018,Springs Gearbox Services (Pty) Ltd,2026-05-27,S. Naidoo,Facilities,CC-600,14341.58,Department Manager,Open
PO-2026-00285,SUP-0044,Village Main Instruments (Pty) Ltd,2026-02-12,C. Maree,Quality,CC-500,6056.95,Buyer,Open
PO-2025-00286,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2025-11-17,G. Coetzee,Quality,CC-500,1633.92,Buyer,Open
PO-2026-00287,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-07-20,A. Petersen,Warehouse,CC-300,10804.86,Department Manager,Open
PO-2025-00288,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2025-12-08,D. Pillay,Maintenance,CC-200,8751.92,Buyer,Open
PO-2026-00289,SUP-0006,Highveld Lubricants (Pty) Ltd,2026-04-03,A. Petersen,Production,CC-100,379249.52,Chief Financial Officer,Open
PO-2026-00290,SUP-0038,Cleveland Bolt Supplies (Pty) Ltd,2026-08-20,K. Mahlangu,Production,CC-100,27103.96,Department Manager,Open
PO-2026-00291,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-06-22,B. Sithole,Engineering,CC-400,781.12,Buyer,Open
PO-2026-00292,SUP-0036,Booysens Battery Centre (Pty) Ltd,2026-05-28,C. Maree,Facilities,CC-600,25203.72,Department Manager,Open
PO-2026-00293,SUP-0044,Village Main Instruments (Pty) Ltd,2026-04-10,R. Botha,Facilities,CC-600,23588.75,Department Manager,Open
PO-2026-00294,SUP-0039,Robertsham Glass and Perspex (Pty) Ltd,2026-06-23,L. Nkosi,Quality,CC-500,37485.34,Department Manager,Open
PO-2026-00295,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-08-10,P. Dlamini,Quality,CC-500,7636.73,Buyer,Open
PO-2026-00296,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-07-27,A. Petersen,Facilities,CC-600,73937.36,Finance Manager,Open
PO-2026-00297,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-01-14,C. Maree,Maintenance,CC-200,66964.8,Finance Manager,Open
PO-2026-00298,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2026-03-05,J. van Wyk,Engineering,CC-400,9304.2,Buyer,Open
PO-2026-00299,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-03-11,T. Mokoena,Quality,CC-500,56685.48,Finance Manager,Open
PO-2026-00300,SUP-0033,Aeroton Castors (Pty) Ltd,2026-03-02,L. Nkosi,Engineering,CC-400,314.72,Buyer,Open
PO-2026-00301,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-04-30,R. Botha,Production,CC-100,16351.98,Department Manager,Open
PO-2025-00302,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2025-11-27,N. Khumalo,Quality,CC-500,50769.52,Finance Manager,Open
PO-2026-00303,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-05-27,L. Nkosi,Production,CC-100,15972.28,Department Manager,Open
PO-2026-00304,SUP-0043,New Centre Gas and Gear (Pty) Ltd,2026-08-07,S. Naidoo,Maintenance,CC-200,4766.38,Buyer,Open
PO-2025-00305,SUP-0037,Denver Crane Services (Pty) Ltd,2025-12-22,C. Maree,Maintenance,CC-200,11720.92,Department Manager,Open
PO-2025-00306,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2025-10-20,L. Nkosi,Production,CC-100,7251.9,Buyer,Open
PO-2025-00307,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2025-11-10,S. Naidoo,Quality,CC-500,17375.27,Department Manager,Open
PO-2025-00308,SUP-0018,Springs Gearbox Services (Pty) Ltd,2025-10-13,D. Pillay,Quality,CC-500,36808.3,Department Manager,Open
PO-2026-00309,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-06-15,C. Maree,Warehouse,CC-300,10633.9,Department Manager,Open
PO-2026-00310,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-08-26,A. Petersen,Facilities,CC-600,963.87,Buyer,Open
PO-2025-00311,SUP-0012,Tshwane Pneumatics (Pty) Ltd,2025-11-05,M. Fourie,Quality,CC-500,196000.85,Finance Manager,Open
PO-2025-00312,SUP-0036,Booysens Battery Centre (Pty) Ltd,2025-12-01,P. Dlamini,Facilities,CC-600,7557.24,Buyer,Open
PO-2025-00313,SUP-0002,Vaal Steel Merchants (Pty) Ltd,2025-12-29,N. Khumalo,Maintenance,CC-200,4674.3,Buyer,Open
PO-2026-00314,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-05-15,D. Pillay,Engineering,CC-400,12664.09,Department Manager,Open
PO-2025-00315,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-11-10,C. Maree,Production,CC-100,96423.93,Finance Manager,Open
PO-2025-00316,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2025-10-13,D. Pillay,Production,CC-100,863.25,Buyer,Open
PO-2026-00317,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-02-24,R. Botha,Facilities,CC-600,20237.22,Department Manager,Open
PO-2026-00318,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-04-20,A. Petersen,Production,CC-100,34454.56,Department Manager,Open
PO-2026-00319,SUP-0035,Selby Scrap and Recovery (Pty) Ltd,2026-08-24,J. van Wyk,Facilities,CC-600,35591.35,Department Manager,Open
PO-2026-00320,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2026-07-15,R. Botha,Warehouse,CC-300,4715.28,Buyer,Open
PO-2025-00321,SUP-0022,Nigel Compressor Services (Pty) Ltd,2025-12-12,R. Botha,Engineering,CC-400,24525.5,Department Manager,Open
PO-2026-00322,SUP-0044,Village Main Instruments (Pty) Ltd,2026-04-14,J. van Wyk,Production,CC-100,20549.18,Department Manager,Open
PO-2025-00323,SUP-0037,Denver Crane Services (Pty) Ltd,2025-10-13,K. Mahlangu,Engineering,CC-400,11589.92,Department Manager,Open
PO-2025-00324,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2025-11-03,P. Dlamini,Engineering,CC-400,5124.44,Buyer,Open
PO-2026-00325,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-07-22,D. Pillay,Engineering,CC-400,274236.5,Chief Financial Officer,Open
PO-2026-00326,SUP-0006,Highveld Lubricants (Pty) Ltd,2026-05-26,S. Naidoo,Facilities,CC-600,26199.6,Department Manager,Open
PO-2026-00327,SUP-0033,Aeroton Castors (Pty) Ltd,2026-06-09,R. Botha,Quality,CC-500,305.62,Buyer,Open
PO-2026-00328,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-04-30,A. Petersen,Warehouse,CC-300,20939.96,Department Manager,Open
PO-2025-00329,SUP-0024,Randburg Instrumentation (Pty) Ltd,2025-11-20,J. van Wyk,Quality,CC-500,13223.14,Department Manager,Open
PO-2026-00330,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2026-06-15,M. Fourie,Production,CC-100,5772.88,Buyer,Open
PO-2026-00331,SUP-0031,Sebenza Workwear (Pty) Ltd,2026-01-14,J. van Wyk,Engineering,CC-400,6961.23,Buyer,Open
PO-2026-00332,SUP-0045,Salt River Marine Fittings (Pty) Ltd,2026-04-27,G. Coetzee,Quality,CC-500,9469.64,Buyer,Open
PO-2026-00333,SUP-0028,Wadeville Hose and Coupling (Pty) Ltd,2026-04-27,M. Fourie,Engineering,CC-400,1865.0,Buyer,Open
PO-2026-00334,SUP-0022,Nigel Compressor Services (Pty) Ltd,2026-05-20,M. Fourie,Production,CC-100,12047.38,Department Manager,Open
PO-2026-00335,SUP-0013,Isando Welding Supplies (Pty) Ltd,2026-01-22,D. Pillay,Warehouse,CC-300,6901.9,Buyer,Open
PO-2026-00336,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2026-07-27,N. Khumalo,Warehouse,CC-300,201150.25,Finance Manager,Open
PO-2025-00337,SUP-0033,Aeroton Castors (Pty) Ltd,2025-12-23,S. Naidoo,Quality,CC-500,3153.25,Buyer,Open
PO-2026-00338,SUP-0044,Village Main Instruments (Pty) Ltd,2026-02-18,M. Fourie,Warehouse,CC-300,27888.5,Department Manager,Open
PO-2026-00339,SUP-0044,Village Main Instruments (Pty) Ltd,2026-07-20,D. Pillay,Facilities,CC-600,39213.65,Department Manager,Open
PO-2025-00340,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2025-12-01,R. Botha,Production,CC-100,312123.3,Chief Financial Officer,Open
PO-2026-00341,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-08-19,D. Pillay,Facilities,CC-600,12761.68,Department Manager,Open
PO-2026-00342,SUP-0016,Benoni Industrial Paints (Pty) Ltd,2026-04-21,T. Mokoena,Quality,CC-500,217361.9,Finance Manager,Open
PO-2025-00343,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2025-12-29,A. Petersen,Quality,CC-500,53043.24,Finance Manager,Open
PO-2025-00344,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2025-11-21,N. Khumalo,Quality,CC-500,45991.57,Department Manager,Open
PO-2026-00345,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2026-02-10,P. Dlamini,Maintenance,CC-200,55765.42,Finance Manager,Open
PO-2025-00346,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2025-12-12,S. Naidoo,Production,CC-100,11217.68,Department Manager,Open
PO-2026-00347,SUP-0001,Midrand Bearing Supplies (Pty) Ltd,2026-06-02,C. Maree,Warehouse,CC-300,8793.72,Buyer,Open
PO-2025-00348,SUP-0041,City Deep Cold Storage Spares (Pty) Ltd,2025-11-06,B. Sithole,Maintenance,CC-200,80794.4,Finance Manager,Open
PO-2025-00349,SUP-0023,Modderfontein Chemicals (Pty) Ltd,2025-10-29,N. Khumalo,Facilities,CC-600,17429.28,Department Manager,Open
PO-2026-00350,SUP-0044,Village Main Instruments (Pty) Ltd,2026-01-26,R. Botha,Quality,CC-500,32596.9,Department Manager,Open
PO-2026-00351,SUP-0024,Randburg Instrumentation (Pty) Ltd,2026-02-05,A. Petersen,Production,CC-100,37360.62,Department Manager,Open
PO-2026-00352,SUP-0020,Krugersdorp Chain and Sprocket (Pty) Ltd,2026-01-19,K. Mahlangu,Engineering,CC-400,41627.7,Department Manager,Open
PO-2026-00353,SUP-0040,Ophirton Hydraulic Rams (Pty) Ltd,2026-02-18,P. Dlamini,Maintenance,CC-200,42421.0,Department Manager,Open
PO-2026-00354,SUP-0042,Crown Mines Motor Spares (Pty) Ltd,2026-04-24,P. Dlamini,Quality,CC-500,62113.44,Finance Manager,Open
PO-2025-00355,SUP-0009,Rand Safety Equipment (Pty) Ltd,2025-11-28,L. Nkosi,Production,CC-100,3468.4,Buyer,Open
PO-2025-00356,SUP-0006,Highveld Lubricants (Pty) Ltd,2025-12-23,P. Dlamini,Production,CC-100,9318.04,Buyer,Open
PO-2026-00357,SUP-0005,Boksburg Fastener Co (Pty) Ltd,2026-02-20,F. Adams,Engineering,CC-400,3301.26,Buyer,Open
PO-2026-00358,SUP-0003,Protea Hydraulics (Pty) Ltd,2026-07-27,M. Fourie,Warehouse,CC-300,508.85,Buyer,Open
PO-2025-00359,SUP-0026,Brakpan Sheet Metal (Pty) Ltd,2025-10-15,J. van Wyk,Engineering,CC-400,39601.21,Department Manager,Open
PO-2025-00360,SUP-0037,Denver Crane Services (Pty) Ltd,2025-11-10,J. van Wyk,Maintenance,CC-200,38191.79,Department Manager,Open
PO-2026-00361,SUP-0025,Sasolburg Pipe and Fittings (Pty) Ltd,2026-08-03,M. Fourie,Engineering,CC-400,1329.65,Buyer,Open
PO-2026-00362,SUP-0015,Alberton Seal and Gasket (Pty) Ltd,2026-06-19,P. Dlamini,Warehouse,CC-300,6502.25,Buyer,Open
PO-2026-00363,SUP-0033,Aeroton Castors (Pty) Ltd,2026-01-07,D. Pillay,Warehouse,CC-300,228.25,Buyer,Open
PO-2026-00364,SUP-0030,Elandsfontein Rubber (Pty) Ltd,2026-07-15,S. Naidoo,Production,CC-100,1063.68,Buyer,Open
PO-2026-00365,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2026-04-22,A. Petersen,Maintenance,CC-200,10816.1,Department Manager,Open
PO-2026-00366,SUP-0007,Cape Conveyor Systems (Pty) Ltd,2026-06-09,M. Fourie,Facilities,CC-600,58826.9,Finance Manager,Open
PO-2025-00367,SUP-0017,Roodepoort Motor Rewinds (Pty) Ltd,2025-12-25,D. Pillay,Engineering,CC-400,75963.36,Finance Manager,Open
PO-2026-00368,SUP-0010,Germiston Tool Hire (Pty) Ltd,2026-01-26,K. Mahlangu,Warehouse,CC-300,6615.4,Buyer,Open
PO-2025-00369,SUP-0034,Chamdor Forklift Spares (Pty) Ltd,2025-11-14,C. Maree,Production,CC-100,82916.71,Finance Manager,Open
