invoice_id,line_no,item_code,description,quantity,unit_price,line_total
INV-00169,2,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,3,4816.7,14450.1
INV-00170,1,HYD-2SN12,Hydraulic hose 2SN 1/2 inch per metre,6,221.94,1331.64
INV-00170,2,HYD-FIT12,Swaged fitting 1/2 BSP male,2,164.67,329.34
INV-00171,1,WLD-MIG08,MIG wire 0.8mm 15kg spool,4,1386.9,5547.6
INV-00171,2,WLD-E6013,Welding electrode E6013 3.2mm 5kg,20,509.03,10180.6
INV-00171,3,WLD-HLM01,Auto darkening welding helmet,20,2460.3,49206.0
INV-00172,1,DRV-SPB2120,SPB section V belt 2120mm,10,271.73,2717.3
INV-00172,2,DRV-TL2517,Taper lock bush 2517 x 45mm,2,412.11,824.22
INV-00172,3,BRG-22216,Spherical roller bearing 22216 E,10,3207.52,32075.2
INV-00172,4,BRG-6205,Deep groove ball bearing 6205 2RS,50,355.0,17750.0
INV-00173,1,ABR-CUT230,Cutting disc 230 x 3 x 22 box of 25,1,825.23,825.23
INV-00174,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,12,935.75,11229.0
INV-00174,2,FST-NUTM12,Hex nut M12 grade 8 box of 200,4,410.85,1643.4
INV-00175,1,MTR-REW11,Motor rewind 11kW including bearings,5,7846.25,39231.25
INV-00175,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,3,7215.81,21647.43
INV-00176,1,PNU-FRL12,Filter regulator lubricator 1/2 inch,50,1615.23,80761.5
INV-00176,2,PNU-CMP75,Screw compressor service kit 7.5kW,1,6376.9,6376.9
INV-00176,3,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,1,2394.69,2394.69
INV-00177,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,17,2693.36,45787.12
INV-00177,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,4,3725.93,14903.72
INV-00178,1,PPE-GLV10,Cut resistant glove level 5 pair,4,116.01,464.04
INV-00179,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,12,2013.68,24164.16
INV-00179,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,25,3560.95,89023.75
INV-00180,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,17,2693.36,45787.12
INV-00180,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,4,3725.93,14903.72
INV-00181,1,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,4,125.96,503.84
INV-00181,2,SEL-GSK150,Full face gasket 150mm rubber insertion,5,146.87,734.35
INV-00181,3,SEL-ORK01,O ring kit nitrile 382 piece,8,1334.66,10677.28
INV-00182,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,6,2918.0,17508.0
INV-00182,2,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,1,754.83,754.83
INV-00183,1,MHD-SLG03,Webbing sling 3 ton 4 metre,6,880.65,5283.9
INV-00183,2,MHD-FRK25,Forklift fork 2500kg pair class 2,1,10779.2,10779.2
INV-00184,1,CHM-RUS05,Rust converter 5 litre,4,711.69,2846.76
INV-00184,2,CHM-DEG25,Industrial degreaser 25 litre,20,1768.14,35362.8
INV-00185,1,FLT-AIR01,Compressor air filter element,6,875.27,5251.62
INV-00185,2,FLT-HYD10,Hydraulic return filter element 10 micron,1,905.27,905.27
INV-00186,1,VLV-GT80,Gate valve 80mm flanged,4,3551.75,14207.0
INV-00187,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,8,635.01,5080.08
INV-00187,2,WLD-HLM01,Auto darkening welding helmet,3,1740.94,5222.82
INV-00188,1,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,4,2762.75,11051.0
INV-00189,1,CNV-PUL400,Drum pulley 400mm lagged,4,8204.34,32817.36
INV-00189,2,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,1,1359.63,1359.63
INV-00190,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,10,1105.57,11055.7
INV-00191,1,PPE-HAT01,Hard hat vented with ratchet,3,109.35,328.05
INV-00191,2,PPE-BOOT8,Safety boot steel toe size 8 pair,3,474.73,1424.19
INV-00192,1,REF-GAS404,Refrigerant R404a 10kg cylinder,20,8292.62,165852.4
INV-00192,2,REF-CMP15,Refrigeration compressor 15HP semi hermetic,2,31995.08,63990.16
INV-00193,1,PPE-GLV10,Cut resistant glove level 5 pair,1,121.14,121.14
INV-00194,1,MHD-SLG03,Webbing sling 3 ton 4 metre,1,1237.46,1237.46
INV-00194,2,MHD-FRK25,Forklift fork 2500kg pair class 2,1,11936.14,11936.14
INV-00195,1,PIP-FLG80,Slip on flange 80mm table D,5,393.44,1967.2
INV-00195,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,5,1698.77,8493.85
INV-00196,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,3,1287.51,3862.53
INV-00196,2,CNV-PUL400,Drum pulley 400mm lagged,2,8368.34,16736.68
INV-00196,3,CNV-IDL152,Trough idler set 152mm 650 belt,25,1910.62,47765.5
INV-00197,1,VLV-BF100,Butterfly valve 100mm lever operated,4,2545.37,10181.48
INV-00197,2,PMP-CEN55,Centrifugal pump 5.5kW end suction,1,21501.93,21501.93
INV-00197,3,VLV-GT80,Gate valve 80mm flanged,1,3582.25,3582.25
INV-00198,1,HYD-FIT12,Swaged fitting 1/2 BSP male,5,101.77,508.85
INV-00199,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,5,12378.72,61893.6
INV-00199,2,HYD-FIT12,Swaged fitting 1/2 BSP male,8,93.31,746.48
INV-00199,3,HYD-PMP45,Gear pump 45cc SAE B,5,7561.17,37805.85
INV-00200,1,PNT-PRM20,Zinc phosphate primer 20 litre,5,3265.27,16326.35
INV-00200,2,PNT-EPX20,Two pack epoxy enamel 20 litre,2,3717.74,7435.48
INV-00201,1,REF-GAS404,Refrigerant R404a 10kg cylinder,1,6239.6,6239.6
INV-00201,2,REF-CMP15,Refrigeration compressor 15HP semi hermetic,5,28686.31,143431.55
INV-00202,1,DRV-TL2517,Taper lock bush 2517 x 45mm,12,493.5,5922.0
INV-00202,2,BRG-22216,Spherical roller bearing 22216 E,1,3147.6,3147.6
INV-00203,1,HYD-FIT12,Swaged fitting 1/2 BSP male,25,181.27,4531.75
INV-00204,1,INS-TMP01,PT100 temperature probe with head,25,1621.78,40544.5
INV-00204,2,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,7,7478.35,52348.45
INV-00205,1,PPE-HRN01,Full body safety harness double lanyard,3,2339.59,7018.77
INV-00205,2,PPE-BOOT8,Safety boot steel toe size 8 pair,1,694.78,694.78
INV-00205,3,PPE-GLV10,Cut resistant glove level 5 pair,2,162.36,324.72
INV-00205,4,PPE-HAT01,Hard hat vented with ratchet,4,103.08,412.32
INV-00206,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,1,24205.06,24205.06
INV-00206,2,REF-GAS404,Refrigerant R404a 10kg cylinder,1,5551.71,5551.71
INV-00207,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,12,923.68,11084.16
INV-00208,1,PIP-FLG80,Slip on flange 80mm table D,6,707.41,4244.46
INV-00208,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,25,1620.02,40500.5
INV-00209,1,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,1,7046.44,7046.44
INV-00209,2,MTR-REW11,Motor rewind 11kW including bearings,6,11013.4,66080.4
INV-00210,1,PIP-FLG80,Slip on flange 80mm table D,2,486.84,973.68
INV-00211,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,4,10605.25,42421.0
INV-00212,1,PKG-PLT12,Pallet wrap 500mm 20 micron roll,5,246.68,1233.4
INV-00212,2,PKG-STR48,Strapping band 16mm x 1000m,1,677.75,677.75
INV-00213,1,BRG-22216,Spherical roller bearing 22216 E,5,3383.07,16915.35
INV-00213,2,DRV-SPB2120,SPB section V belt 2120mm,5,415.58,2077.9
INV-00214,1,FST-ANC12,Chemical anchor stud M12 x 160,5,61.72,308.6
INV-00215,1,PNU-CYL63,Pneumatic cylinder 63 bore 200 stroke,5,2344.64,11723.2
INV-00215,2,PNU-CMP75,Screw compressor service kit 7.5kW,6,6920.94,41525.64
INV-00215,3,PNU-FRL12,Filter regulator lubricator 1/2 inch,20,1697.61,33952.2
INV-00216,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,2,1368.68,2737.36
INV-00216,2,CNV-IDL152,Trough idler set 152mm 650 belt,5,2573.9,12869.5
INV-00216,3,CNV-PUL400,Drum pulley 400mm lagged,10,9893.66,98936.6
INV-00217,1,LUB-GRS18,Lithium complex grease EP2 18kg,4,2699.59,10798.36
INV-00218,1,MTR-REW11,Motor rewind 11kW including bearings,6,12660.56,75963.36
INV-00219,1,MHD-FRK25,Forklift fork 2500kg pair class 2,4,11835.97,47343.88
INV-00219,2,MHD-SLG03,Webbing sling 3 ton 4 metre,5,963.46,4817.3
INV-00220,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,2,6822.41,13644.82
INV-00220,2,INS-TMP01,PT100 temperature probe with head,4,1726.09,6904.36
INV-00221,1,HDW-PDL50,Brass padlock 50mm keyed alike,4,255.9,1023.6
INV-00222,1,MHD-FRK25,Forklift fork 2500kg pair class 2,50,10405.11,520255.5
INV-00222,2,MHD-SLG03,Webbing sling 3 ton 4 metre,2,1108.58,2217.16
INV-00223,1,LUB-HYD46,Hydraulic oil ISO 46 20 litre,20,1222.74,24454.8
INV-00223,2,LUB-EP220,Gear oil EP220 208 litre drum,5,11870.61,59353.05
INV-00223,3,LUB-GRS18,Lithium complex grease EP2 18kg,6,2102.68,12616.08
INV-00224,1,ELE-SWA4C,SWA cable 4 core 16mm per metre,1,263.83,263.83
INV-00224,2,ELE-CB63,Circuit breaker 63A triple pole,5,915.2,4576.0
INV-00225,1,TLS-GRN230,Angle grinder 230mm 2400W,5,3016.63,15083.15
INV-00226,1,LUB-GRS18,Lithium complex grease EP2 18kg,4,2699.59,10798.36
INV-00227,1,PPE-HAT01,Hard hat vented with ratchet,1,152.55,152.55
INV-00227,2,PPE-GLV10,Cut resistant glove level 5 pair,3,174.78,524.34
INV-00227,3,PPE-BOOT8,Safety boot steel toe size 8 pair,10,642.85,6428.5
INV-00227,4,PPE-HRN01,Full body safety harness double lanyard,12,2105.6,25267.2
INV-00228,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,3,6201.91,18605.73
INV-00228,2,INS-TMP01,PT100 temperature probe with head,3,1216.69,3650.07
INV-00229,1,DRV-TL2517,Taper lock bush 2517 x 45mm,2,635.2,1270.4
INV-00229,2,DRV-SPB2120,SPB section V belt 2120mm,25,257.52,6438.0
INV-00229,3,BRG-6205,Deep groove ball bearing 6205 2RS,4,271.33,1085.32
INV-00230,1,SEL-ORK01,O ring kit nitrile 382 piece,1,1535.15,1535.15
INV-00230,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,20,126.22,2524.4
INV-00230,3,SEL-GSK150,Full face gasket 150mm rubber insertion,10,244.27,2442.7
INV-00231,1,ELE-CB63,Circuit breaker 63A triple pole,4,750.28,3001.12
INV-00231,2,ELE-SWA4C,SWA cable 4 core 16mm per metre,3,249.37,748.11
INV-00232,1,CNV-PUL400,Drum pulley 400mm lagged,4,12850.96,51403.84
INV-00233,1,MHD-FRK25,Forklift fork 2500kg pair class 2,1,9519.23,9519.23
INV-00233,2,MHD-SLG03,Webbing sling 3 ton 4 metre,1,1296.87,1296.87
INV-00234,1,SEL-ORK01,O ring kit nitrile 382 piece,25,1172.86,29321.5
INV-00235,1,PNU-CMP75,Screw compressor service kit 7.5kW,3,4742.26,14226.78
INV-00236,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,50,4771.91,238595.5
INV-00237,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,10,1140.72,11407.2
INV-00237,2,FST-NUTM12,Hex nut M12 grade 8 box of 200,50,809.4,40470.0
INV-00237,3,FST-ANC12,Chemical anchor stud M12 x 160,20,77.27,1545.4
INV-00238,1,REF-GAS404,Refrigerant R404a 10kg cylinder,20,6133.9,122678.0
INV-00238,2,REF-CMP15,Refrigeration compressor 15HP semi hermetic,32,37065.58,1186098.56
INV-00239,1,FST-NUTM12,Hex nut M12 grade 8 box of 200,20,727.44,14548.8
INV-00240,1,STL-ANG40,Equal angle 40 x 40 x 5mm 6m,1,586.53,586.53
INV-00240,2,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,20,1851.54,37030.8
INV-00240,3,STL-RD304,Stainless round bar 304 20mm 6m,3,2579.46,7738.38
INV-00240,4,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,1,635.86,635.86
INV-00241,1,STL-RD304,Stainless round bar 304 20mm 6m,2,1440.53,2881.06
INV-00241,2,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,10,792.38,7923.8
INV-00242,1,STL-SQ50,Square tube 50 x 50 x 3mm 6m length,2,919.45,1838.9
INV-00242,2,STL-RD304,Stainless round bar 304 20mm 6m,4,1560.87,6243.48
INV-00242,3,STL-PL6MS,Mild steel plate 6mm 1000 x 2000,4,2829.76,11319.04
INV-00243,1,CHM-DEG25,Industrial degreaser 25 litre,8,1634.03,13072.24
INV-00243,2,CHM-RUS05,Rust converter 5 litre,3,1089.26,3267.78
INV-00244,1,MTR-REW11,Motor rewind 11kW including bearings,6,8551.81,51310.86
INV-00244,2,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,5,9263.86,46319.3
INV-00245,1,LUB-GRS18,Lithium complex grease EP2 18kg,6,1811.1,10866.6
INV-00246,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,3,7047.89,21143.67
INV-00246,2,HYD-FIT12,Swaged fitting 1/2 BSP male,1,151.25,151.25
INV-00246,3,HYD-PMP45,Gear pump 45cc SAE B,1,8658.63,8658.63
INV-00247,1,SEL-GSK150,Full face gasket 150mm rubber insertion,50,198.07,9903.5
INV-00248,1,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,4,1267.53,5070.12
INV-00248,2,CNV-PUL400,Drum pulley 400mm lagged,20,10808.97,216179.4
INV-00248,3,CNV-IDL152,Trough idler set 152mm 650 belt,4,1687.48,6749.92
INV-00249,1,HYD-FIT12,Swaged fitting 1/2 BSP male,10,125.56,1255.6
INV-00249,2,HYD-PMP45,Gear pump 45cc SAE B,3,6424.7,19274.1
INV-00250,1,CNV-PUL400,Drum pulley 400mm lagged,4,8084.21,32336.84
INV-00250,2,CNV-IDL152,Trough idler set 152mm 650 belt,1,1589.19,1589.19
INV-00250,3,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,1,1101.12,1101.12
INV-00251,1,PNT-PRM20,Zinc phosphate primer 20 litre,2,3691.76,7383.52
INV-00251,2,PNT-EPX20,Two pack epoxy enamel 20 litre,2,4291.84,8583.68
INV-00252,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,3,363.43,1090.29
INV-00252,2,WLD-HLM01,Auto darkening welding helmet,3,1766.94,5300.82
INV-00253,1,DRV-TL2517,Taper lock bush 2517 x 45mm,1,528.65,528.65
INV-00253,2,BRG-6205,Deep groove ball bearing 6205 2RS,8,497.02,3976.16
INV-00253,3,BRG-22216,Spherical roller bearing 22216 E,10,3976.23,39762.3
INV-00254,1,PMP-CEN55,Centrifugal pump 5.5kW end suction,1,26611.16,26611.16
INV-00255,1,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,3,7394.7,22184.1
INV-00255,2,INS-TMP01,PT100 temperature probe with head,2,1790.55,3581.1
INV-00256,1,PIP-FLG80,Slip on flange 80mm table D,4,538.74,2154.96
INV-00256,2,PIP-GAL50,Galvanised pipe 50mm medium 6m,2,1313.67,2627.34
INV-00257,1,HDW-PDL50,Brass padlock 50mm keyed alike,1,291.64,291.64
INV-00258,1,MHD-FRK25,Forklift fork 2500kg pair class 2,10,14341.49,143414.9
INV-00258,2,MHD-SLG03,Webbing sling 3 ton 4 metre,3,887.74,2663.22
INV-00259,1,DRV-TL2517,Taper lock bush 2517 x 45mm,5,345.45,1727.25
INV-00259,2,BRG-22216,Spherical roller bearing 22216 E,3,3587.37,10762.11
INV-00259,3,BRG-6205,Deep groove ball bearing 6205 2RS,6,466.35,2798.1
INV-00260,1,MHD-FRK25,Forklift fork 2500kg pair class 2,1,10238.48,10238.48
INV-00261,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,3,2896.76,8690.28
INV-00262,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,1,881.51,881.51
INV-00262,2,FST-ANC12,Chemical anchor stud M12 x 160,2,73.5,147.0
INV-00263,1,CNV-PUL400,Drum pulley 400mm lagged,3,10507.51,31522.53
INV-00263,2,CNV-BLT650,Conveyor belting 650mm 3 ply per metre,12,721.4,8656.8
INV-00264,1,PLA-PER06,Perspex sheet 6mm 1000 x 2000,1,2126.14,2126.14
INV-00264,2,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,1,3708.68,3708.68
INV-00265,1,FST-M12X60,Hex bolt M12 x 60 grade 8.8 box of 100,3,1100.42,3301.26
INV-00266,1,INS-TMP01,PT100 temperature probe with head,6,1418.31,8509.86
INV-00266,2,INS-PRS16,Pressure transmitter 0 to 16 bar 4 to 20mA,8,5526.12,44208.96
INV-00267,1,CHM-DEG25,Industrial degreaser 25 litre,1,1275.36,1275.36
INV-00268,1,INS-TMP01,PT100 temperature probe with head,12,1962.54,23550.48
INV-00269,1,PLA-HDPE10,HDPE sheet 10mm 1000 x 2000,4,4226.46,16905.84
INV-00269,2,PLA-PER06,Perspex sheet 6mm 1000 x 2000,8,2557.23,20457.84
INV-00270,1,HYD-CYL80,Hydraulic cylinder 80 bore 400 stroke,4,9447.58,37790.32
INV-00271,1,SEL-ORK01,O ring kit nitrile 382 piece,12,1390.11,16681.32
INV-00272,1,HYD-FIT12,Swaged fitting 1/2 BSP male,10,186.5,1865.0
INV-00273,1,HYD-PMP45,Gear pump 45cc SAE B,50,7603.17,380158.5
INV-00274,1,PIP-GAL50,Galvanised pipe 50mm medium 6m,1,1751.04,1751.04
INV-00274,2,PIP-FLG80,Slip on flange 80mm table D,4,449.03,1796.12
INV-00275,1,MHD-SLG03,Webbing sling 3 ton 4 metre,7,1310.84,9175.88
INV-00275,2,MHD-FRK25,Forklift fork 2500kg pair class 2,1,13372.98,13372.98
INV-00276,1,PKG-PLT12,Pallet wrap 500mm 20 micron roll,12,324.78,3897.36
INV-00277,1,MTR-55KW4,Electric motor 5.5kW 4 pole foot mount,2,11679.48,23358.96
INV-00278,1,HDW-PDL50,Brass padlock 50mm keyed alike,3,314.36,943.08
INV-00278,2,HDW-CST100,Swivel castor 100mm braked,50,404.65,20232.5
INV-00279,1,WLD-E6013,Welding electrode E6013 3.2mm 5kg,5,377.82,1889.1
INV-00280,1,REF-CMP15,Refrigeration compressor 15HP semi hermetic,1,24205.06,24205.06
INV-00280,2,REF-GAS404,Refrigerant R404a 10kg cylinder,1,5551.71,5551.71
INV-00281,1,PNT-EPX20,Two pack epoxy enamel 20 litre,5,3575.73,17878.65
INV-00282,1,SEL-GSK150,Full face gasket 150mm rubber insertion,3,281.7,845.1
INV-00282,2,SEL-OIL45,Oil seal 45 x 65 x 10 nitrile,3,142.12,426.36
INV-00282,3,SEL-ORK01,O ring kit nitrile 382 piece,4,1417.23,5668.92
INV-00283,1,ELE-SWA4C,SWA cable 4 core 16mm per metre,4,260.56,1042.24
INV-00283,2,ELE-CON40,Contactor 40A 230V coil,4,2180.92,8723.68
INV-00284,1,SEL-ORK01,O ring kit nitrile 382 piece,50,1084.5,54225.0
